prompt,prefix,suffix
"A baby wearing a horse bib, Japanese text “ごはんまだ？”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby rolling in a blanket, Japanese text “寝返り初め”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with a bottle shaped like a horse, Japanese text “ミルク初め”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby hiding face with hooves, Japanese text “照れおめ！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding a tiny bell, Japanese text “ことよろ2025”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby giggling beside oranges, Japanese text “こたつの番”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby yawning wide, Japanese text “ふぁ〜新年”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby wrapped in a fluffy futon, Japanese text “寝正月代表”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby smiling beside a horse plush, Japanese text “午年パワー”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding a small rice cracker, Japanese text “おせちちょーだい”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby touching its horse hood, Japanese text “似合ってる？”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sitting with sleepy eyes, Japanese text “起きたふり”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby covered by a blanket, Japanese text “夢の中で初詣”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby hugging a mini horse pillow, Japanese text “お昼寝中”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with a sleepy smile, Japanese text “寝正月が仕事”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding a mochi toy, Japanese text “もちもち仲間”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sucking thumb sleepily, Japanese text “新年だよ〜”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby under a futon, Japanese text “まだ寝たい”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with a tiny fan, Japanese text “福きた！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby lying on its belly smiling, Japanese text “ごろごろ天国”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding a horse-shaped rattle, Japanese text “初笑い！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sleeping peacefully with blanket, Japanese text “Good night 午年”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby kicking joyfully, Japanese text “お正月バンザイ”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby raising one hand, Japanese text “おめでとー！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby in a soft horse hood blinking, Japanese text “ことよろ〜♪”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby yawning next to a daruma, Japanese text “寝過ぎた”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby hugging stuffed horse tightly, Japanese text “午年Love”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with sleepy eyes smiling, Japanese text “ねむねむ正月”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding tiny bells, Japanese text “お正月きた！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby wrapped in futon beside oranges, Japanese text “ぬくぬく最高”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with pacifier and happy face, Japanese text “しあわせ〜”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby waving tiny hand, Japanese text “あけおめことよろ！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby looking up at the sky, Japanese text “晴れたね！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with a small cup of milk, Japanese text “乾杯ミルク！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sleeping while smiling, Japanese text “良い夢見てる”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby surrounded by mini horse toys, Japanese text “午年集合！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby laughing out loud, Japanese text “あはは新年！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby turning over sleepily, Japanese text “二度寝OK！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby lying flat relaxed, Japanese text “寝正月万歳！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sleeping peacefully, Japanese text “静かな午年”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"「おはよう！」 A smiling baby in a Santa outfit stretches both arms toward the morning sun, warm soft lighting.",,
"「あけおめ！」 A baby Santa waves cheerfully while sitting in a gift box, bright festive mood.",,
"「ことよろ！」 A baby with a Santa hat bows politely with a tiny jingle bell in hand, gentle morning light.",,
"「おやすみ」 A baby in red pajamas yawns sleepily beside a small reindeer plush, soft dim light.",,
"「こんにちは」 A cheerful Santa baby reaches out with both hands, wide smile, daylight glow.",,
"「ありがとう」 A baby Santa holding a small present with both hands, gentle backlight and sparkle.",,
"「またね」 A baby in a Santa costume waves goodbye, snowflakes floating around, warm tone.",,
"「よろしく」 A baby Santa bows slightly with closed eyes, soft afternoon sunlight.",,
"「OK！」 A confident baby Santa gives a thumbs-up, bright and clean composition.",,
"「いいね！」 A baby Santa raises both thumbs with joy, glowing rim light around head.",,
"「がんばって！」 A baby Santa lifts a tiny toy sack with determined face, morning lighting.",,
"「おつかれさま」 A tired baby Santa rubbing eyes while sitting on snow cushion, warm gentle lighting.",,
"「メリークリスマス！」 A happy baby Santa surrounded by small gifts, soft golden illumination.",,
